Period,Value
Nov-2009,965
Dec-2009,1911
Jan-2010,2150
Feb-2010,948
Mar-2010,948
Apr-2010,858
May-2010,1015
Jun-2010,1020
Jul-2010,1003
Aug-2010,2134
Sep-2010,1400
Oct-2010,905
Nov-2010,978
Dec-2010,1879
Jan-2011,1950
Feb-2011,960
Mar-2011,881
Apr-2011,797
May-2011,936
Jun-2011,902
Jul-2011,865
Aug-2011,2142
Sep-2011,1335
Oct-2011,751
Nov-2011,797
Dec-2011,1400
Jan-2012,1716
Feb-2012,821
Mar-2012,756
Apr-2012,742
May-2012,887
Jun-2012,839
Jul-2012,785
Aug-2012,1836
Sep-2012,1097
Oct-2012,717
Nov-2012,755
Dec-2012,1318
Jan-2013,1659
Feb-2013,740
Mar-2013,705
Apr-2013,662
May-2013,818
Jun-2013,722
Jul-2013,703
Aug-2013,1562
Sep-2013,1101
Oct-2013,716
Nov-2013,740
Dec-2013,1318
Jan-2014,1474
Feb-2014,723
Mar-2014,677
Apr-2014,676
May-2014,785
Jun-2014,694
Jul-2014,698
Aug-2014,1686
Sep-2014,1061
Oct-2014,721
Nov-2014,724
Dec-2014,1326
Jan-2015,1479
Feb-2015,682
Mar-2015,652
Apr-2015,647
May-2015,746
Jun-2015,678
Jul-2015,687
Aug-2015,1535
Sep-2015,1053
Oct-2015,709
Nov-2015,714
Dec-2015,1300
Jan-2016,1404
Feb-2016,676
Mar-2016,670
Apr-2016,660
May-2016,729
Jun-2016,667
Jul-2016,643
Aug-2016,1476
Sep-2016,1026
Oct-2016,683
Nov-2016,713
Dec-2016,1238
Jan-2017,1375
Feb-2017,674
Mar-2017,692
Apr-2017,715
May-2017,769
Jun-2017,688
Jul-2017,650
Aug-2017,1374
Sep-2017,976
Oct-2017,651
Nov-2017,659
Dec-2017,1106
Jan-2018,1207
Feb-2018,634
Mar-2018,652
Apr-2018,624
May-2018,691
Jun-2018,632
Jul-2018,605
Aug-2018,1214
Sep-2018,863
Oct-2018,637
Nov-2018,664
Dec-2018,1121
Jan-2019,1006
Feb-2019,574
Mar-2019,593
Apr-2019,639
May-2019,685
Jun-2019,604
Jul-2019,581
Aug-2019,1107
Sep-2019,856
Oct-2019,637
Nov-2019,627
Dec-2019,1050
Jan-2020,967
Feb-2020,575
Mar-2020,393
Apr-2020,171
May-2020,263
Jun-2020,369
Jul-2020,415
Aug-2020,729
Sep-2020,583
Oct-2020,425
Nov-2020,461
Dec-2020,834
Jan-2021,754
Feb-2021,415
Mar-2021,493
Apr-2021,459
May-2021,563
Jun-2021,624
Jul-2021,630
Aug-2021,1018
Sep-2021,777
Oct-2021,612
Nov-2021,621
Dec-2021,1051
Jan-2022,803
Feb-2022,513
Mar-2022,535
Apr-2022,585
May-2022,613
Jun-2022,560
Jul-2022,595
Aug-2022,1055
Sep-2022,799
Oct-2022,587
Nov-2022,618
Dec-2022,1084
Jan-2023,918
Feb-2023,560
Mar-2023,594
Apr-2023,580
May-2023,650
Jun-2023,584
Jul-2023,588
Aug-2023,872
